Year,Abstract
2020,"The technology disclosed presents a novel spatial attention model that uses current hidden state information of a decoder long short-term memory (LSTM) to guide attention and to extract spatial image features for use in image captioning. The technology disclosed also presents a novel adaptive attention model for image captioning that mixes visual information from a convolutional neural network (CNN) and linguistic information from an LSTM. At each timestep, the adaptive attention model automatically decides how heavily to rely on the image, as opposed to the linguistic model, to emit the next caption word. The technology disclosed further adds a new auxiliary sentinel gate to an LSTM architecture and produces a sentinel LSTM (Sn-LSTM). The sentinel gate produces a visual sentinel at each timestep, which is an additional representation, derived from the LSTM's memory, of long and short term visual and linguistic information."
2020,"METHOD AND SYSTEM FOR EXTRACTION OF RELEVANT SECTIONS FROM PLURALITY OF DOCUMENTS 5 Embodiments of the present disclosure, implements method of extracting relevant sections from a plurality of documents by (a) receiving an input document from a user; (b) converting, the input document to a standard text file; (c) classifying, the standard text file to obtain a labelled text file associated with at least one cluster from a plurality of clusters; (d) extracting, from the labelled text file to obtain a plurality of relevant 10 entities associated with at least one cluster in the plurality of clusters; (e) annotating, the standard text file by the extracted plurality of relevant entities to obtain an annotated enriched text file; (f) identifying, a plurality of section boundaries to obtain a sectioned data; and (g) extracting, relevant sections of the plurality of documents based on the plurality of relationship associated with the set of relevant entities. as 0 /\A /\ oCIl"
2020,"The present invention is an apparatus for creating an index for conducting a search on a database based on a resource including a text sentence. The apparatus comprises: a dictionary that includes a plurality of phrases associated with each other for each specific concept; an input interface unit that receives an input of the resource; a text processing unit that performs processing for extracting a plurality of words, as tokens, from the text sentence in the received resource; a directed graph generation unit that generates a directed graph representing a connection relationship between the extracted plurality of tokens in accordance with the text sentence; a directed graph search unit that conducts a search on the directed graph based on a search-target-phrase and that, if the search-target-phrase is found in the dictionary, locates a location in the directed graph where the search-target-phrase appeared; and an index creation unit that creates an index indicating association with the resource based on the plurality of tokens in the directed graph."
2020,"A computer implemented method for identifying one or more data elements in an input data stream formed from an input data structure using processing enabled by a processor-executable instruction can be stored on a non-transitory computerized storage medium. This stored method includes identifying a marker sequence set in the input document string, the marker sequence set including a marker sequence; assigning an eligibility value to each marker sequence, the eligibility value being a number calculated using an eligibility calculation, to obtain at least one eligible marker sequence; generating output data comprising data related to the at least one eligible marker sequence; and providing the output data, such as on a human-readable interface."
2020,Examples disclosed herein relate to a system including: one or more processors and at least one memory device where the one or more processors may receive communication data and convert the received communication data into a machine representation of the received communication data. The one or more processors may utilize one or more annotators with the machine representation of the received communication data to generate an annotated machine representation of the received communication data. The one or more processors may compare the annotated machine representation of the received communication data to one or more rule engines and transmit an initiation action signal based on the comparison of the annotated machine representation of the received communication data to the one or more rule engines.
2020,"A database contains a corpus of incident reports, a machine learning (ML) model trained to calculate paragraph vectors of the incident reports, and a look-up set table that contains a list of paragraph vectors respectively associated with sets of the incident reports. A plurality of ML worker nodes each store the look-up set table and are configured to execute the ML model. An update thread is configured to: determine that the look-up set table has expired; update the look-up set table by: (i) adding a first set of incident reports received since a most recent update of the look-up set table, and (ii) removing a second set of incident reports containing timestamps that are no longer within a sliding time window; store, in the database, the look-up set table as updated; and transmit, to the ML worker nodes, respective indications that the look-up set table has been updated."
2020,"An electronic input document presented on a display of a client is examined to identify a text unit in the electronic input document and contextual information about the input document. A set of annotations for the text unit and the input document are determined responsive to the contextual information for the text unit. Responsive to the set of annotations, a set of candidate texts are identified from a corpus of documents that can replace the text unit. The candidate texts are evaluated in the set of candidate texts to identify a subset of the set of candidate texts as a set of replacement texts for the text unit. At least one replacement text from the set of replacement texts is presented on the display of the client."
2020,"Embodiments of the disclosure provide a method and an apparatus for textual semantic encoding. In one embodiment, the method comprises: generating a matrix of word vectors based on textual data; inputting the matrix of word vectors into a bidirectional recurrent neural network to pre-processing the matrix of word vectors into output vectors, the output vectors representing contextual semantic relationships; performing convolution on the output vectors to obtain a convolution result, the convolution result representing to a topic; and performing pooling on the convolution result to obtain a fixed-length vector as a semantic encoding of the textual data, the semantic encoding representing the topic of the textual data."
2020,"Techniques for generating natural language text with a natural language generation (NLG) system using a plurality of semantic objects including a first semantic object. The techniques include: obtaining a first specification of the first semantic object, the first specification specifying a first set of one or more data variables, first attributes, a first vocabulary, and a first document structure configuration; obtaining, from at least one data store, first data related to the first set of data variables; determining values of at least some of the first set of data variables using the first data; generating the natural language text including first natural language text, using the first specification, the values of at least some of the first set of data variables; and outputting the generated natural language text."
2020,"A facility for managing a document conversion environment is described. In various embodiments, the facility includes a native application associated with a native document type and an isolation service. The isolation service determines whether a native application associated with the native document type has started and when it has not started, starts the native application and causes the started native application to load and convert a native document to a common document format, wherein the isolation service starts a single instance of the native application and monitors the single instance of the native application so that it complies with specified a parameter, condition, or setting of operation."
2020,"A computer implemented method of assessing sub-graphs proposed for constructing a concept map, comprising using one or more processors for executing code for receiving a proposed sub-graph from one or more user client terminals used by users, where the proposed sub-graph comprises concept nodes and edges defining conceptual relationship between the concept nodes and searching a database comprising stored sub-graphs to determine a match of the proposed sub-graph with one of the stored sub-graphs each associated with a stored feedback record. In case of a match, selecting the stored feedback record associated with a matching stored sub-graph and in case of no-match, forwarding the proposed sub-graph to a reviewer client terminal of reviewer(s) and receiving from the reviewer client terminal(s) a generated feedback record and responding to the user client terminal(s) with the selected stored feedback record or the generated feedback record according to the match."
2020,"A method and system may be provided for recording discussions about computer code in an integrated development environment (IDE). In some aspects, a communication channel is integrated with an IDE. Communications and discussions may be tracked and linked with specific code sections. In some aspects, a predefined graphical interface may be used in forming the communications for the communication channel."
2020,"Recording audio information from a meeting includes determining which audio input audio device (smartphones) correspond to which meeting participant, measuring volume levels in response to each of the meeting participants speaking, identifying one of the participants is speaking based on stored voice profiles and/or relative volume levels at each of the smartphones, recording on a first channel audio input at a first smartphone corresponding to the speaker, identifying another one of the participants is speaking based on stored voice profiles and/or relative volume levels at each of the smartphones, recording on a second channel, separate from the first channel, audio input at a second smartphone corresponding to the other speaker, and merging the first and second channels to provide a storyboard that includes audio input from the channels and identification of speakers based on which specific ones of the channels contains the audio input."
2020,"A system for scoring micro-blogging messages is provided, including an extractor, and evaluator, a calculator, and a publisher. The extractor may be configured to receive micro-blogging messages, to detect messages containing terms of interest, to extract raw data, and to store the data in a database. The evaluator may be configured to access and parse the stored data into tokenized data, and to store the tokenized data in a database. The evaluator may also be configured to identify relevant micro-blogging messages; to tag message as indicative; and to filter messages from low-volume or malicious sources before being tagged as indicative. The calculator may be configured to access a sentiment dictionary; to calculate a sentiment score of the tokenized data, and to calculate a sentiment signature for a term of interest. The publisher may be configured to provide access to clients of the system."
2020,"Based on a candidate set of translations produced by a neural network based machine learning model, a mapping data structure such as a statistical phrase table is generated. The mapping data structure is analyzed to obtain a quality metric of the neural network based model. One or more operations are initiated based on the quality metric."
2020,Approaches are provided for managing content displayed on a touch screen enabled device. An approach includes detecting a gesture on a surface of a computing device. The approach further includes collecting data about touch events generated from the gesture on the surface of the computing device. The approach further includes evaluating the collected data to determine whether the gesture is recognized for changing a layout or format of content displayed on the computing device. The approach further includes performing a service call to an application programming interface of a layout tool to have the change in the layout or format of the content executed when the gesture is recognized. The approach further includes displaying the content on the computing device with the change in the layout or format.
2020,"A third-party service may be used to assist entities in responding to requests of users. A third-party service may receive, directly or indirectly, a request of a first user for assistance from a first entity. The third-party service may request information about the first user by sending a request to a computer of the first entity. The third-party service may use the request of the first user and the information about the first user to automatically generate a response to the request of the first user. The third-party service may then transmit, directly or indirectly, the response to the first user."
2020,"Disclosed herein is a computer-implemented method of carrying on a conversation, the method including: during a conversation session, receiving an electronic query initiated by a user; based on query data associated with the query, automatically retrieving first result data from a hierarchical taxonomy; in the event that the first result data contains one or more user-selectable options, generating an electronic response to the query based at least on the one or more user-selectable options; and otherwise: based on the query data, automatically retrieving second result data from a tagged-content source and generating the electronic response to the query based at least on the second result data."
2020,"A method, system, and computer program product for unsupervised automated generation of lexicons in a specified target domain, comprising tokens having domain-specific sentiment orientation, by selecting a seed set of tokens from a source lexicon; generating a candidate set of tokens from a text corpus in the target domain based on a similarity parameter with the seed set; calculating a sentiment score for each of the tokens in the candidate set; and automatically updating the source lexicon based on the candidate list."
2020,"Disclosed are a scenario-based sound effect control method and an electronic device. The method comprises: after being turned on, an electronic device enables a service having an interception function; the electronic device intercepts, by using the service having the interception function, whether there is a newly created audio decoder and/or video decoder in the electronic device; if determining that there is the newly created audio decoder and the video decoder in the electronic device, the electronic device determines that a current scenario is a video playing application scenario; the electronic device obtains a scenario-based sound effect corresponding to the video playing application scenario, and sets a current sound effect of the electronic device as the scenario-based sound effect."
2020,Embodiments are provided for intelligent communication message completion in a computing system by a processor. A plurality of contextual factors associated with a communication dialog may be determined and learned. A communication message may be automatically completed according to the plurality of contextual factors associated with the communication dialog.
2020,Techniques to automatically correct or complete text are disclosed. An entered text and a context data indicating a context in which the entered text is used are received. Examples of context data include additional words and/or a phrase or sentence in which the entered text occurs. A replacement candidate to replace the entered text is determined based on the entered text and the context data.
2020,"The present disclosure provides a method, an apparatus, and a computer program product which communicate with a programming interface of a spreadsheet software application for computing a value of a spreadsheet formula depending on at least one variable cell explicitly or implicitly through interdependence on additional nested formulas, for a supplied value of the variable cell, and without storing or modifying any stored value in the spreadsheet application. In one aspect, the present disclosure teaches a method for computing a numerical value of a single or multiple integral equation using a pure integration function of the spreadsheet application."
2020,"A method for collaborative data entry in which a primary user enters data into an input terminal includes data being entered into a number of input fields on an input screen by the primary user. The input terminal has an interface for assigning entry of data into at least one of the input fields to an alternate user. The method includes, with the interface, assigning entry of data into at least one of the input fields to an alternate user. An apparatus allowing collaborative data entry includes an input terminal comprising a display device for displaying data to a user and a user input device for receiving input from a user; and a user interface of the input terminal, the interface comprising a number of input fields for receiving the input from a user and for assigning at least one the input field to an alternate user."
2020,"Provided is an incorrect triple detection system including a triple selector configured to select a target triple (subject, type, object) in a knowledge base, a sampler configured to create a sentence model by connecting object triples sharing entities included in the target triple, a model builder configured to embed the sentence model into a vector space to create a training entity vector and build an embedding model, and an incorrect triple detector configured to detect an incorrect triple by inputting a test triple into the embedding model."
2020,"A device for providing handwritten content is provided. The device includes a controller configured to segment handwritten content into a plurality of objects by grouping strokes included in the handwritten content and process the respective segmented plurality of objects in a form of a selectable object, and a display configured to display the handwritten content including the processed plurality of objects."
2020,"A method for creating a multimedia presentation element, comprises selecting a presentation element icon; adding information to a presentation element box defined by a presentation boundary within a first multimedia element of the multi-media presentation having a plurality of multimedia elements, the presentation element boundary resulting from the selection of the presentation element icon; and associating the presentation element box with the first multimedia element such that the presentation element box remains associated to the first multimedia element during navigation from different multimedia elements of the plurality of multimedia elements, is described herein."
2020,"A method of managing supply chain risks having a supply chain risk analysis implementation, includes loading from a data storage or a memory, supply chain data for a supply chain which indicates information about the supply chain; mapping the supply chain data to a consistent input model; automatically analyzing, by an analytics module implemented on a processor, the input model to detect supply chain anomalies indicating the supply chain risks; producing an analysis results output of the analyzed input model; and outputting the analysis results output of the detected supply chain anomalies to the memory, the data storage, a display, or a message. A supply chain risk analysis system includes the processor, the data storage or the memory that stores the supply chain data for the supply chain which indicates information about the supply chain. The processor is configured to perform the processes."
2020,"This disclosure generally covers systems and methods that provide guidance to create an electronic survey. In some embodiments, the systems and methods identify and provide a suggested survey topicâ€”with a corresponding option to create an electronic surveyâ€”based on user input. In some embodiments, the systems and methods identify and provide one or more suggested electronic survey questions based on user input. In such embodiments, the systems and methods provide, for example, components of suggested electronic survey questions, previously composed and benchmarking electronic survey questions, or suggested revisions to electronic survey questions. In addition, the systems and methods can provide entire premade electronic surveys based on receiving user input from a survey administrator."
2020,"Methods, computer program products, and systems are presented. The methods include, for instance: obtaining a media file including a speech by one or more speaker. The language of the speech is identified and biographic data of a speaker of the speech is generated by analyzing semantics and vocal characteristics of the speech. The speaker is diarized and confidence in a resulting speaker label is evaluated against a threshold. The speaker label is adjusted with the language of the speech and biographic data of the speaker and produced as speaker metadata of the media file."
2020,"A computer selects a test set of sentences from among sentences applied to train a whole sentence recurrent neural network language model to estimate the probability of likelihood of each whole sentence processed by natural language processing being correct. The computer generates imposter sentences from among the test set of sentences by substituting one word in each sentence of the test set of sentences. The computer generates, through the whole sentence recurrent neural network language model, a first score for each sentence of the test set of sentences and at least one additional score for each of the imposter sentences. The computer evaluates an accuracy of the natural language processing system in performing sequential classification tasks based on an accuracy value of the first score in reflecting a correct sentence and the at least one additional score in reflecting an incorrect sentence."
2020,"A system for symbolic communication including a communication system, a sender communication device including a processor and a memory, a symbolic communication software module stored in the sender communication device memory, the symbolic communication software module including a database of symbols, with some of the symbols being billable, each billable symbol being associated with a merchant and having a billing rate associated with its use in a message, the symbolic communication software module comprising executable instructions that when executed by the processor cause the processor to allow a user to select symbols to compose a message; send the message to a receiver communication device using a communication system; count and record each symbols used in the message in the symbol server, and bill the merchant for the use of the billable symbol in a message, using the billing rate associated with the billable symbol."
2020,"A document processing apparatus includes a reception unit that, in a case where a first text string which is generated from a first range as a partial range of a content of a document and includes one or more text strings showing a feature of the document is present, receives specifying of a second range which is a range in which a second text string which includes one or more text strings at least partially different from the first text string is generated from the content, and a control unit that controls the reception of the specifying of the second range by the reception unit such that a data amount of the second text string generated from the second range is less than or equal to a data capacity of the second text string determined by a data amount of the first text string or less than or equal to a data capacity which is determined until the second range is specified after decision of the first range in the document."
2020,"Disclosed is a legal document generating system and method. The system includes a clause template database, a temporary database, a drafting module, and an output module. The drafting module receives a clause template index code to be drafted and an alterable clause content to be drafted and stores the alterable clause content in the temporary database according to the clause template index code. The output module fetches an unalterable clause content according to the clause template index code from the clause template database and fetches a corresponding alterable clause content from the temporary database, thereby outputting a legal document."
2020,"A question answering system that determines whether a question is off-topic by performing the following steps: (i) receiving, by a question answering system, a set of documents; (ii) identifying topical subset(s) for each document of the set of documents using named entity recognition, where each topical subset relates to a corresponding topic; (iii) assigning a set of topic score(s) for each topical subset using natural language processing, where each topic score relates to a corresponding probability associated with the respective topical subset under a probabilistic language model; and (iv) determining, based, at least in part, on the topic score(s) corresponding to the topical subset(s), whether a question input into the question answering system is off-topic."
2020,"The problem relates to making a user grasp notification contents more effectively. There is provided an information processing device including a control unit that controls information notification to a user based on notification contents, in which the control unit determines an output position of a subject in the notification contents on the basis of a calculated attention acquisition difficulty level related to the user. In addition, there is provided an information processing method including controlling, by a processor, information notification to a user based on notification contents, in which the controlling further includes determining an output position of a subject in the notification contents on the basis of a calculated attention acquisition difficulty level related to the user."
2020,"A method includes receiving an utterance at a computerized automated assistant system, and detecting, via a date/time constraint module of the computerized automated assistant system, one or more constraints in the utterance associated with a date or time. The utterance is associated with a domain. The method further comprises generating, via the date/time constraint module, a periodic set for each of the one or more constraints associated with the date or time, and combining, via the date/time constraint module, the one or more periodic sets. The method further comprises processing, via a dialogue manager module of the computerized automated assistant system, the combined periodic sets to determine an action, and executing the action at the computerized automated assistant system."
2020,"The present disclosure provides systems and methods for generating matching phrases based on user-defined criteria including a desired stress pattern of a phrase. The system may determine a stress pattern based on user-defined criteria including an auditory file of a melody, and use the determined stress pattern to generate a plurality of matching phrases that include the same stress pattern."
2020,Computer-implemented methods for allowing users to specify interactive graphical designs are provided. The graphical designs can comprise multiple dimension versionsâ€”such as a tablet dimension version or a phone dimension version. Some of the methods involve an inheritance structure that defines a first dimension version of the design as a child of a second dimension version of the design. Specifications for properties of widgets in the graphical design are applied to the design in accordance with the inheritance specification. Some of the methods involve an inheritance characterization that determines how properties of a widget are affected by the inheritance structure across different dimension versions. Some of the methods involve an existence property for the widgets.
2020,"A system and method for estimating document structure of a document which includes extracting one or more candidate elements describing the document structure from the document and grouping the one or more candidate elements into a group and building one or more trees for the group. Each tree has a root node and a leaf node selected from the candidate elements in the group. The method further includes pruning the one or more trees while leaving a path from the root node to the leaf node, based on whether a text corresponding to the path to the leaf node is accommodated in a single group of words."
2020,"A system and method for data access control using narrative authentication questions can include a server containing a database storing login credentials for an account associated with a user, and the login credentials can include a narrative authentication question and an authentication response associated with the narrative authentication question. A system and method for data access control using narrative authentication questions can include a user device in data communication with the server, and the user device can receive and transmit user input from the user. Upon receipt of a request to access the account from the user, the server can transmit the narrative authentication question to the user device, receive a user input by the user transmitted from the user device in response to the narrative authentication question, compare the user input to the authentication response stored in the database, calculate a similarity score based on the comparison, and approve the user's request to access the account if the similarity score exceeds a threshold."
2020,"In accordance with some embodiments, a computer-implemented method for use in conjunction with a device with a touch screen display is disclosed. In the method, a movement of an object on or near the touch screen display is detected. In response to detecting the movement, an electronic document displayed on the touch screen display is translated in a first direction. If an edge of the electronic document is reached while translating the electronic document in the first direction while the object is still detected on or near the touch screen display, an area beyond the edge of the document is displayed. After the object is no longer detected on or near the touch screen display, the document is translated in a second direction until the area beyond the edge of the document is no longer displayed."
2020,"Systems and processes for operating an intelligent automated assistant to perform intelligent list reading are provided. In accordance with one example, a method includes, at an electronic device having one or more processors, receiving a natural-language input corresponding to a domain; providing the natural-language input to an external device; receiving, from the external device, a process flow corresponding to the domain; determining, with the process flow corresponding to the domain, a task associated with the natural-language input; performing the task; and providing an output indicating whether the task has been performed."
2020,"Dynamic templates include regions that provide behavior based upon a purpose or desired outcome. Templates and regions can modify the logical representations associated with objects to create semantic context for the objects. Templates and regions can also generate visual representations of objects based upon their logical representations. The visual representation utilized by a template or region can be selected manually or based upon the capabilities of a computing device. Objects contained within regions can be sorted, filtered, arranged, and projected based on their associated logical representations. Templates and regions can modify their size based upon the objects contained therein, can receive logical representations of objects from data sources and update the data sources to reflect modification of the logical representations, can initiate actions based on changes to the logical representations associated with objects, and generate structured summaries or other types of content based upon the logical representations."
2020,"A statistics-based machine translation method is disclosed. The method generates probabilities of translation from a sentence to be translated to candidate translated texts based on features of the candidate translated texts that affect the probabilities of translation and a pre-generated translation probability prediction model. The features that affect probabilities of translation include at least degrees of semantic similarity between the sentence to be translated and the candidate translated texts. A preset number of candidate translated texts with highly ranked probabilities of translation are selected to serve as translated texts of the sentence to be translated. The method is able to go deep into a semantic level of a natural language when a machine translation model is constructed to avoid a semantic deviation of a translated text from an original text, thereby achieving the effect of improving the quality of translation."
2020,"This information processing method includes: acquiring a first speech signal including a first utterance; acquiring a second speech signal including a second utterance; recognizing whether the speaker of the second utterance is a first speaker by comparing a feature value for the second utterance and a first speaker model; when the first speaker is recognized, performing speech recognition in a first language on the second utterance, generating text in the first language corresponding to the second utterance subjected to speech recognition in the first language, and translating the text in the first language into a second language; and, in a case where the first speaker is not recognized, performing speech recognition in the second language on the second utterance, generating text in the second language corresponding to the second utterance subjected to speech recognition in the second language, and translating the text in the second language into the first language."
2020,A plurality of pages associated with a website are crawled. Page information is generated for the plurality of pages. A plurality of locations that are compatible with a content template are determined based at least the page information for the plurality of pages. The content template is embedded in at least one of the plurality of locations.
2020,"Methods, systems; and apparatus, including computer programs encoded on a computer storage medium, for voice recognition. In one aspect, a method includes the actions of receiving a voice input; determining a transcription for the voice input, wherein determining the transcription for the voice input includes, for a plurality of segments of the voice input: obtaining a first candidate transcription for a first segment of the voice input; determining one or more contexts associated with the first candidate transcription; adjusting a respective weight for each of the one or more contexts; and determining a second candidate transcription for a second segment of the voice input based in part on the adjusted weights; and providing the transcription of the plurality of segments of the voice input for output."
2020,"Word vectors are multi-dimensional vectors that represent words in a corpus of text and that are embedded in a semantically-encoded vector space. Word vectors can be used for sentiment analysis, comparison of the topic or content of sentences, paragraphs, or other passages of text or other natural language processing tasks. However, the generation of word vectors can be computationally expensive. Accordingly, when a set of word vectors is needed for a particular corpus of text, a set of word vectors previously generated from a corpus of text that is sufficiently similar to the particular corpus of text, with respect to some criteria, may be re-used for the particular corpus of text. Such similarity could include the two corpora of text containing the same or similar sets of words or containing incident reports or other time-coded sets of text from overlapping or otherwise similar periods of time."
2020,"An apparatus includes a memory and a hardware processor. The memory stores a threshold. The processor receives first, second, and third messages. The processor determines a number of occurrences of words in the messages. The processor also calculates probabilities that a word in the messages is a particular word and co-occurrence probabilities. The processor further calculates probability distributions of words in the messages. The processor also calculates probabilities based on the probability distributions. The processor compares these probabilities to a threshold to determine whether the first message is related to the second message and/or whether the first message is related to the third message."
2020,"Techniques for parsing a message comprising at least one data field are provided. One computer-implemented method comprises: determining, by an electronic device operatively coupled to a processing unit, a first model from a first category of data processing models; and determining, by the electronic device, a second model from a second category of data processing models, the second category being different from the first category. The computer-implemented method also comprises comparing, by the electronic device, performance of a first combined model of first and second models with performance of the first model; and selecting, by the electronic device, a target model for processing data from the first combined model and the first model based on the comparing."
2020,Systems and methods are provided for automatically translating one or more electronic spreadsheets into scripts. One or more electronic spreadsheets containing data arrays and formula arrays may be accessed. The electronic spreadsheet(s) may implement various logic using the data arrays and the formula arrays. The range(s) of the formula arrays may be determined. The range(s) of the data arrays may be determined based on the range(s) of the formula arrays. Conversion ranges may be determined based on the range(s) of formula arrays and the range(s) of data arrays. One or more dependencies between the conversion ranges may be determined and used to generate source code modeling the logic implemented by the electronic spreadsheet(s).
2020,"In example implementations, a method and apparatus are provided. The method includes identifying portions of a code for a web application on a first browser that are incompatible with a different browser. The portion of the code that are incompatible are adjusted to include a compatible code for the different browser. A match of the different browser and the first browser is verified when executing the web application with the portions of code that are adjusted to include the compatible code. The adjusted code for the web application for the different browser is generated."
2020,"An Internet-based agenda data analysis system may include at least one processor configured to maintain a list of user-selectable agenda issues, present to a user via a user interface, the list of user-selectable agenda issues, and receive via the user interface, based on a selection from the list, agenda issues of interest to an organization. The processor may be configured to access information scraped from the Internet to determine, for a plurality of policymakers, individual policymaker data from which an alignment position of each policymaker on each of the agenda issues is determinable, calculate alignment position data from the individual policymaker data, the alignment position data corresponding to relative positions of each of the plurality of policymakers on each of the plurality of selected issues, and transform the alignment position data into a graphical display that presents the alignment positions of multiple policymakers."
2020,"In one aspect, a computerized method for automatically generating digital video content from scripts includes a media engine. The media engine receives a script and a plurality of flags; sending the script to a natural language processing (NLP) engine. The NLP engine parses the script. The script is broken into a set of keywords and phrases in a JSON format. The NLP engine, based on the keywords and phrases and the plurality of flags, obtains a relevant background scene for the video and a relevant set of assets for the video, and a set of associated attributes of each of the set of assets. In an asset is a character or object for the video. The NLP engine provides the parsed script in the JSON format and the relevant background scene of the video and the relevant set of assets of the video, and the set of associated attributes of each of the set of assets to a layout engine. The layout engine, based on the parsed script in the JSON format, automatically constructs the video with the relevant background scene of the video and the relevant set of assets of the video, and the set of associated attributes of each of the set of assets."
2020,"A method for analyzing a document may include obtaining a runtime model for an application used to process the document, extracting, from the document, code blocks each including statements, and generating, using the runtime model, a result including a series of abstract states for each statement of a code block. Each abstract state may include a series of abstract values each corresponding to concrete values. The method may further include determining, using the result and the runtime model, whether the document includes potentially malicious code."
2020,"Methods and system are provided for decomposing events from managed infrastructures. The system decomposes events from a managed infrastructure and includes a first engine that receives data from a managed infrastructure which includes managed infrastructure physical hardware. The infrastructure physical hardware supports the flow and processing of information. A second engine determines common characteristics of events and produces clusters of events relating to the failure of errors in the managed infrastructure. Membership in a cluster indicates a common factor of the events that is a failure or an actionable problem in the physical hardware managed infrastructure directed to support the flow and processing of information. Events are produced that relate to the managed infrastructure. The events are converted into words and subsets used to group the events that relate to failures or errors in the managed infrastructure, including the managed infrastructure physical hardware. The events have textural context. Semantic meaning is applied to the textual context of the events. A change to a managed infrastructure physical hardware component is made."
2020,"A voice input device includes an input unit, a storage unit, an operation unit, and a controller. The input unit acquires a voice and generates voice data corresponding to the voice. The storage unit stores the voice data inputted from the input unit. The operation unit is operated by a user. The controller determines a voice activity period in which voice recognition is performed on the voice data stored in the storage unit based on a user's operation on the operation unit. Then, upon detecting a predetermined operation on the operation unit made by the user, the controller adjusts the determined voice activity period."
2020,"In one embodiment synthetic training data items are generated, each comprising a) a textual representation of a synthetic sentence and b) one or more transcodes of the synthetic sentence comprising one or more actions and one or more entities associated with the one or more actions. For each synthetic training data item, the textual representation of the synthetic sentence is converted into a sequence of phonemes that represent the synthetic sentence. A first machine learning model is then trained as a transcoder that determines transcodes comprising actions and associated entities from sequences of phonemes, wherein the training is performed using a first training dataset comprising the plurality of synthetic training data items that comprise a) sequences phonemes that represent synthetic sentences and b) transcodes of the synthetic sentences. The transcoder may be used in a conversational agent."
